date,production_adj,production_past_adj,luftdruck_past,lufttemp_past,niederschlag_past,sonnenscheindauer_past,taupunkt_past,windgeschw_past,luftdruck_pred,lufttemp_pred,niederschlag_pred,sonnenscheindauer_pred,taupunkt_pred,windgeschw_pred,day_sin,day_cos,year_sin,year_cos
2021-08-13 05:30:00+00:00,0.0592157394330048,0.0626374853108127,931.25,16.7,0.0,8.25,13.5,0.6499999999999999,931.5820486111112,22.95205439814815,0.238125,6.662326388888891,17.577135416666668,1.6555613425925924,0.9914448613724052,0.1305261922307256,-0.6643714107606242,-0.7474025880099279
2021-08-13 05:45:00+00:00,0.0778300170738441,0.0617892750742806,931.55,16.233333333333334,0.0,5.25,13.7,0.7166666666666667,931.5505902777776,22.94713541666667,0.238125,6.630381944444445,17.57897569444445,1.662355324074074,0.997858923238051,0.0654031292385726,-0.6645053313442129,-0.747283523580654
2021-08-13 06:00:00+00:00,0.083862177298864,0.0300710961647142,931.55,16.650000000000002,0.0,0.0,13.45,1.15,931.5191319444444,22.940231481481486,0.238125,6.624739583333335,17.58059027777778,1.666875,1.0,6.129149194174751e-12,-0.6646392305898303,-0.7471644351553133
2021-08-13 06:15:00+00:00,0.0816270287025971,0.0950434022499997,931.6833333333334,16.816666666666666,0.0,7.0,14.433333333333332,0.6,931.4879976851852,22.93236111111112,0.238125,6.622829861111112,17.582997685185187,1.6713657407407407,0.9978589232388528,-0.0654031292263405,-0.664773108493177,-0.7470453227377297
2021-08-13 06:30:00+00:00,0.0991469058267358,0.1646424908476023,931.85,17.05,0.0,11.25,14.6,0.65,931.4574131944444,22.92385416666667,0.238125,6.616406250000001,17.583778935185187,1.6788773148148148,0.9914448613740052,-0.1305261922185722,-0.6649069650499537,-0.7469261863317284
2021-08-13 06:45:00+00:00,0.1435832546753726,0.1949383477741707,931.8333333333334,17.75,0.0,9.25,14.866666666666667,0.1833333333333333,931.426753472222,22.91422453703704,0.238125,6.603385416666667,17.58304976851852,1.687141203703704,0.9807852804030692,-0.1950903220169387,-0.6650408002558622,-0.7468070259411346
2021-08-13 07:00:00+00:00,0.2339221301140548,0.1841004934769543,931.95,17.55,0.0,9.0,15.3,0.5499999999999999,931.3963831018518,22.90273726851852,0.238125,6.563541666666668,17.582870370370372,1.69546875,0.9659258262920206,-0.2588190450915024,-0.665174614106605,-0.7466878415697747
2021-08-13 07:15:00+00:00,0.1958084858899079,0.2659069321003219,932.0,18.216666666666665,0.0,12.75,15.433333333333332,0.5499999999999999,931.3655613425929,22.88848958333333,0.2385416666666666,6.525,17.582013888888888,1.7025636574074074,0.946930129498027,-0.3214394652945554,-0.6653084065978854,-0.7465686332214762
2021-08-13 07:30:00+00:00,0.282417628420126,0.3000939908640481,931.95,19.3,0.0,14.25,16.099999999999998,0.2,931.3343113425926,22.871232638888888,0.2398437499999998,6.4828125000000005,17.583333333333332,1.708616898148148,0.9238795325138776,-0.3826834323588351,-0.6654421777254067,-0.7464494009000665
2021-08-13 07:45:00+00:00,0.356025033664278,0.3849135194345794,931.9166666666666,19.55,0.0,15.0,15.533333333333331,0.7666666666666667,931.3027488425925,22.851938657407405,0.2449479166666665,6.435937500000001,17.584791666666668,1.7150636574074074,0.8968727415346571,-0.4422886902150089,-0.6655759274848737,-0.7463301446093746
